Название,Цена
Lenovo IdeaPad 330-15ICH (81FK00CTRA),"15 716,03 грн"
"Apple MacBook Air 13"" Silver 2018 (MUQU2)",38 056
Lenovo V130-15 Iron Grey (81HN00PYRA),11 562
Vinga Iron S140 (S140-P508256G),9 527
Dell XPS 15 7590 (X5932S4NDW-84S),100 749
HP 250 G7 Silver (6BP40EA),8 930
ASUS VivoBook 15 X512UA Grey (X512UA-EJ211),8 298
Xiaomi Mi Notebook Lite 15.6 2019 Intel Core i5 8/512Gb MX110 Deep Gray...,18 997
Acer Predator Helios 300 PH317-53-747P (NH.Q5REU.013),57 520
Lenovo V340-17IWL (81RG0012RA),"17 871,70 грн"
HP ProBook 445R G6 (8AC52ES),22 885
HP 15-db0113ur Black (4KA72EA),6 500
Dell Vostro 5590 (N5105VN5590EMEA01_U),30 396
Dell G5 5590 Black (G557161S2NDL-62B),40 525
Lenovo IdeaPad L340-15 Gaming (81LK00GDRA),22 812
ASUS X509UB Silver (X509UB-EJ010),13 963
ASUS VivoBook 15 X512FL Coral (X512FL-BQ438),"24 999,00 грн"
Acer Aspire 3 A315-42 Black (NX.HF9EU.06P),13 598
HP 250 G7 Dark Silver (6UK92EA),"10 899,00 грн"
HP 255 G7 Dark Silver (6UM18EA),16 082
HP 255 G7 Dark Ash (7DF11EA),8 285
Lenovo IdeaPad D330-10IGM (81H300J1RA),12 296
Acer Swift 1 SF114-32 (NX.GXUEU.029),13 985
HP 250 G7 Dark Silver (9HQ40EA),8 403
Dell Vostro 5590 Gray (N5104VN5590ERC_UBU),22 503
HP Pavilion 15-cs2065ur (8RT84EA),17 870
Lenovo ThinkPad X1 Carbon G7 (20QD001VUS),38 695
Acer Swift 1 SF114-32-P7VB Silver (NX.GXUEU.012),13 408
Vinga Iron S140 (S140-P508256G),9 527
HP 15-da2001ur Silver (8FJ01EA),22 003
Prestigio SmartBook 141 C4 (PSB141C04CGP_MG_CIS),5 846
Lenovo ThinkPad E15 Black (20RD003KRT),21 419
HP Spectre x360 13-aw0000ur (8KH35EA),"49 999,00 грн"
Dell G3 15 3590 (G357161S2NDL-62B),32 560
"Apple MacBook Pro 16"" Space Gray 2019 (Z0XZ001FF)",96 228
Acer Predator Helios 300 PH317-53-77HB (NH.Q5PAA.003),39 338
Alienware 17 AREA-51M (wnser7cr5101h),"48 499,00 грн"
Microsoft Surface Book 2 Silver (HNN-00004),62 397
Lenovo IdeaPad S145-15 (81MX0035RA),9 064
Acer Nitro 7 AN715-51-70TG (NH.Q5GAA.001),24 463
HP ProBook 440 G7 Silver (6XJ55AV_V11),24 221
Acer Swift 3 SF314-57G Grey (NX.HUKEU.002),27 942
HP 15-db1015ua Silver (8RR33EA),14 099
HP Pavilion Gaming 17 (8PK45EA),26 991
Lenovo ThinkPad P1 2nd Gen (20QTS00B00),44 292
Dell XPS 13 7390 (XPS7390-7909SLV-PUS),51 222
ASUS ZenBook PRO UX580GE (UX580GE-BN020R),"35 299,00 грн"
ASUS ROG Zephyrus S GX502GW (GX502GW-AZ093T),"70 950,00 грн"
"Apple MacBook Pro 15"" Space Gray 2019 (5V902)",52 335
"Apple MacBook Air 13"" Space Gray 2020 (Z0YJ0011G)",70 319
"Apple MacBook Air 13"" Space Gray 2020 (Z0YJ0011H)",85 650
Lenovo LEGION Y740-17ICHG (81UJ000VUS),62 715
HP Pavilion Gaming 15-dk0056nr (7WL10UA),23 533
Vinga Iron S140 (S140-P508256G),9 527
LG Gram Ultra-Lightweight (17Z90N-R.AAC8U1),41 108
Lenovo Legion Y530-15ICH (81FV00SWRA),25 001
ASUS VivoBook Pro 17 N705UD (N705UD-EH76),27 936
ASUS X507UF Grey (X507UF-EJ093),16 707
Acer Extensa EX2540-593G Black (NX.EFHEU.070),8 955
Samsung Notebook 7 Spin (NP750QUB-K01US),"18 999,00 грн"
Razer Blade 15 (RZ09-03017E02-R3U1),64 608
"CHUWI Herobook 14.1"" 4/64Gb",7 388
HP Pavilion Gaming 15-dk0024ur Black (7QD97EA),"24 999,00 грн"
ASUS X507UF Gray (X507UF-EJ485),"8 999,00 грн"
ASUS ZenBook 13 UX333FA Silver (UX333FA-A3248T),32 929
Razer Blade Stealth 13 (RZ09-02393E31-R3U1),29 590
HP 250 G7 Asteroid Silver (6MS20EA),16 932
ASUS ROG Strix SCAR II GL704GW (GL704GW-DS76),51 737
Acer Aspire 5 A515-54G-39DW Black (NX.HDGEU.03A),16 043
HP 255 G7 Dark Ash Silver (6MQ30EA),11 385
"Apple MacBook Pro 15"" Silver 2019 (MV922)",59 716
ASUS X509FL Gray (X509FL-BQ198),22 645
ASUS ZenBook 13 UX333FAC Royal Blue (UX333FAC-A3057T),29 121
HP Spectre x360 15-df0033dx (6JY95UA),"34 793,00 грн"
ASUS VivoBook S15 S531FL (S531FL-BQ072),23 958
ASUS ZenBook Flip 14 UX463FL (UX463FL-AI036T),38 584
HP 15-db1017ur Gold (6LD40EA),14 855
Lenovo IdeaPad L340-15IRH Gaming Black (81LK00JNRA),27 309
Vinga Iron S140 (S140-P508256G),9 527
HP Pavilion Gaming 15-ec0013dx (7QS79UA),19 869
Lenovo Legion Y540-17IRH (81Q4006XRA),"35 829,00 грн"
Lenovo ThinkBook 15 Gray (20RW0002RA),26 022
"Apple MacBook Pro 13"" Space Gray 2019 (Z0W4000RF,Z0W5000EN,Z0W4000G7)",58 681
HP Pavilion Gaming 17-cd0048ur Black (7PY56EA),40 975
Lenovo IdeaPad L340-15 Gaming (81LK010MRA),21 632
Lenovo Legion Y540-15IRH (81SX00HERA),29 667
Acer Nitro 5 AN515-54 (NH.Q59EU.037),22 478
ASUS ZenBook Flip 13 UX362FA Grey (UX362FA-EL307T),35 534
Lenovo IdeaPad S145-15IWL Black (81MV0154RA),7 245
Dell Inspiron 5490 Silver (I5478S3NDL-71S),26 124
Lenovo IdeaPad S145-15IWL Black (81MV01DLRA),8 015
Lenovo IdeaPad S340-15IWL Onyx Black (81N800XMRA),19 027
ASUS ZenBook 15 UX534FAC Royal Blue (UX534FAC-AA060T),48 253
ASUS ZenBook 14 UX433FAC Royal Blue (UX433FAC-A5122T),31 048
ASUS ZenBook 14 UX434FAC Blue (UX434FAC-A5047T),36 096
Lenovo IdeaPad S340-15IWL Platinum Grey (81N800XSRA),16 997
ASUS ROG Zephyrus M GU502GV Silver Blue (GU502GV-AZ067T),68 879
Acer Aspire 5 A515-55 Black (NX.HSHEU.004),14 331
HP 15-db1010ua Natural Silver (8KZ69EA),11 638
Dell Inspiron 3593 (I355410NDL-75B),13 673
Acer Swift 3 SF314-57 (NX.HJFEU.008),19 933
HP Pavilion 15-bc526ur (7JU17EA),28 920
Microsoft Surface Pro 7 Platinum with Black Surface Pro Type Cover (QWU-00001),27 116
Vinga Iron S140 (S140-P508256G),9 527
ASUS M509DA (M509DA-EJ034),13 074
Dell Inspiron 3585 (3585R58S2V8-LBK),13 840
Dell Latitude 5501 (210-ASDCI516UHD_UBU),37 060
HP Pavilion 15-cs3075cl (7ZZ53UA),"27 212,00 грн"
HP 15-db1020ua Silver (9RJ55EA),18 995
HP 250 G7 Dark Ash Silver (9HQ65EA),23 773
ASUS VivoBook 15 X509FA Transparent Silver (X509FA-EJ708),9 055
Acer Aspire 5 A515-54G Black (NX.HS8EU.00C),25 247
HP Pavilion 15-cs3063ur Silver (9RG98EA),"19 716,00 грн"
HP Pavilion Gaming 17 (7PX97EA),25 849
Acer Spin 3 SP314-54N Silver (NX.HQ7EU.00C),28 615
ASUS ZenBook 14 UX434FL (UX434FL-UB76T),33 763
Lenovo ThinkPad E595 (20NF0018US),20 987
"Apple MacBook Air 13"" (MMGG2) 2016",22 457
Dell Inspiron 15 5570 (I555820DDL-80B),"15 003,00 грн"
Razer Blade Pro 17 (RZ09-01663E52-R3U1),"63 441,00 грн"
"Apple MacBook Pro 15"" Space Gray (MPTT2) 2017",59 677
Lenovo IdeaPad 330-15 Platinum Grey (81DC009MRA),12 765
Lenovo IdeaPad 330-15 (81FK00FRRA),"17 820,00 грн"
MSI GL63 8RC (GL638RC-664US),19 482
Dell XPS 13 9370 (9370-7415SLV),37 266
Alienware 17 R5 (AW17R5-7092SLV),44 808
ASUS VivoBook Pro N705FD (N705FD-GC005T),27 865
ASUS ZenBook S UX391UA Deep Dive Blue (UX391UA-XB74T),34 131
Vinga Iron S140 (S140-P508256G),9 527
ASUS ZenBook Pro 14 UX480FD (UX480FD-BE023T),31 461
"Apple MacBook Pro 15"" Space Gray 2018 (MR952, Z0V10001W)",98 745
Lenovo Yoga 730-13IKB (81CT001QUS),"18 190,00 грн"
Dell Latitude 5401 (N001L540114ERC_UBU),33 230
Acer Aspire 7 A715-72G-71Q8 (NH.GXCEU.043),27 983
"Apple MacBook Air 13"" Silver 2018 (MREC2, 5REC2)",31 232
"Apple MacBook Air 13"" Gold 2018 (MREF2, 5REF2)",30 251
HP 250 G6 (4LS70ES),"10 999,00 грн"
ASUS X543MA Star Grey (X543MA-GQ495),5 333
HP Envy x360 15-ds0005ur Black (7PY60EA),23 674
Vinga Twizzle J116 (J116-C40464BWP),7 187
HP 250 G7 Dark Ash (6MR07EA),8 812
Dell Inspiron 3583 Black (I35716S3NIW-74B),26 618
HP 250 G7 Dark Silver (6MP92EA),12 020
HP 250 G7 Dark Ash (8AB68ES),9 793
Lenovo ThinkPad T495S (20QJ0005US),23 370
Lenovo ThinkPad E490 Black (20N80017RT),18 326
Lenovo IdeaPad S540-15IWL Mineral Grey (81NE00BRRA),"22 499,00 грн"
ASUS ZenBook 14 UX433FAC (UX433FAC-A5139T),37 097
ASUS F509FJ (F509FJ-EJ009),16 076
Lenovo V340-17IWL (81RG000NRA),11 566
ASUS VivoBook 15 X512DK Coral (X512DK-EJ230),13 273
ASUS VivoBook X507UA Gold (X507UA-EJ1032),10 620
Lenovo IdeaPad L340-15 Gaming Grey (81LK00JJRA),26 168
Vinga Iron S140 (S140-P508256G),9 527
Acer Aspire 5 A515-54G Black (NX.HN0EU.00H),17 000
ASUS ROG Strix G531GU Black (G531GU-AL227),35 242
Lenovo IdeaPad L340-15 Gaming (81LK0112RA),24 628
Lenovo ThinkBook 13s (20R9005KUS),"13 999,00 грн"
Dell G5 5590 (G5590FI58S5H1D1650L-9BK),25 529
ASUS X509FJ Gray (X509FJ-EJ148),13 140
ASUS X509FJ Silver (X509FJ-EJ149),12 778
Lenovo IdeaPad S145-15 (81MX002URA),7 251
HP Pavilion 15-cw1000ua Mineral Silver (7BQ37EA),15 322
MSI PS63 8SC (PS63 8SC-018US),35 119
Lenovo IdeaPad S145-15IWL Black (81MV0155RA),7 278
ASUS ZenBook 14 UX434FAC (UX434FAC-A5042T),34 089
MSI GL65 9SC (GL65 9SD-060XPL),"31 320,00 грн"
Acer Swift 3 SF314-57 Gray (NX.HJFEU.006),18 070
Lenovo IdeaPad S940-14 (81R00006US),23 024
Acer Aspire 3 A315-34-P936 Red (NX.HGAEU.018),7 030
Microsoft Surface Pro X (MJX-00003),28 595
Acer Aspire 5 A515-54G Silver (NX.HN5EU.015),17 922
Lenovo IdeaPad L340-17IRH Gaming Black (81LL00B3RA),24 454
Acer Swift 3 SF314-58 (NX.HPMEU.00Y),16 214
Lenovo Yoga C740-15 (81TD0007US),"24 605,00 грн"
ASUS ROG Strix Scar III G731GW (G731GW-EV061),"51 867,00 грн"
HP 15s-fq1001ur (8KM98EA),11 999
Acer Aspire 3 A315-34-P209 Red (NX.HGAEU.01N),7 211
Vinga Iron S140 (S140-P508256G),9 527
ASUS M509DA (M509DA-EJ068),13 074
Dell XPS 15 7590 (X5932S4NDW-87S),87 031
MSI Prestige 14 A10RAS (A10RAS-091KZ),31 527
ASUS X509FJ Transparent Silver (X509FJ-BQ342),"19 699,00 грн"
ASUS X509FL Slate Grey (X509FL-BQ293),16 865
HP Probook 450 G7 Silver (9HR10EA),23 473
Acer Aspire 3 A315-34-C8QW Black (NX.HE3EU.02Q),"6 599,00 грн"
MSI Prestige 15 A10SC (A10SC-262XUA),49 309
ASUS VivoBook 15 X512FA (X512FA-EJ805T),13 684
ASUS ZenBook Pro 14 UX480FD (UX480FD-BE032T),27 108
Lenovo ThinkPad L450 (20DS0001PB),"6 568,00 грн"
"Apple MacBook 12"" Space Gray (MJY32) 2015","22 058,00 грн"
HP Probook 430 G5 (3DP20ES),"12 499,00 грн"
"Apple MacBook Pro 13"" Silver (MLUQ2) 2016",31 824
Lenovo IdeaPad 330-15 (81DE01FQRA),"11 699,00 грн"
ASUS ZenBook Flip UX461UN (UX461UN-DS74T),31 724
Lenovo Legion Y530-15 (81FV015NRA),"22 699,00 грн"
Microsoft Surface Book 2 Silver (HMW-00001),33 353
ASUS TUF Gaming FX505GM (FX505GM-BN104R),"29 727,00 грн"
ASUS VivoBook Pro 15 N580GD Grey (N580GD-E4012),"30 743,00 грн"
ASUS VivoBook S15 S510UN Gold (S510UN-BQ389T),20 453
Lenovo ThinkPad X1 Yoga 3rd Gen (20LD0015US),27 161
Acer Nitro 5 AN515-52-54XA (NH.Q3XEU.005),"22 999,00 грн"
ASUS ZenBook 14 UX433FN (UX433FN-A5078T),28 061
Vinga Iron S140 (S140-P508256G),9 527
Xiaomi Mi Notebook Lite 15.6 Intel Core i5 MX110 4/128GB + 1TB HDD Black...,"15 999,00 грн"
ASUS VivoBook 15 F512DA (F512DA-EB51),"13 500,00 грн"
Razer Blade 15 (RZ09-02386E92-R3G1),46 849
HP Omen 17-cb0020ur Black (7QE36EA),61 424
Lenovo IdeaPad L340-15 Gaming Black (81LK00G6RA),"21 681,00 грн"
HP 15-dw0006ua Silver (7NB44EA),"11 399,00 грн"
ASUS ROG Strix SCAR GL703GS (GL703GS-DS74),38 410
Lenovo IdeaPad C340-15IWL Platinum (81N50089RA),18 517
HP Pavilion x360 14-dh0000ua (7ZH34EA),15 760
"Apple MacBook Pro 13"" Space Gray 2019 (MV972)",50 700
ASUS ROG Zephyrus S GX701GW Black (GX701GW-DB76),"57 988,00 грн"
Dell Inspiron 15 5582 (NNBENM5WS003S),17 882
Lenovo IdeaPad S340-14IWL Onyx Black (81N700UTRA),"11 039,00 грн"
Acer Nitro 5 AN517-51 Black (NH.Q5CEU.011),26 151
ASUS X543BA Slate Gray (X543BA-DM599),8 652
Lenovo IdeaPad L340-15 Gaming (81LK00GGRA),26 249
ASUS ZenBook S UX391UA (UX391UA-ET053T),29 133
Acer Aspire 3 A315-42G (NX.HF8EU.019),13 743
HP 250 G7 (6EB62EA),"6 299,00 грн"
HP 255 G7 Dark Ash (7DF21EA),11 214
Lenovo IdeaPad S145-15IGM Granite Black (81MX002SRA),5 869
Lenovo IdeaPad L340-17IRH Gaming Black (81LL00B2RA),26 594
Lenovo IdeaPad S340-15IWL Onyx Black (81N800X8RA),"15 299,00 грн"
Lenovo IdeaPad C340-15IWL Onyx Black (81N5008SRA),24 445
Vinga Iron S140 (S140-P508256G),9 527
Lenovo IdeaPad S340-14 (81NB007JRA),11 530
ASUS ImagineBook MJ401TA (MJ401TA-BM3N5),10 721
HP 15-db1007ua Silver (7KH17EA),15 590
Lenovo IdeaPad S530-13IWL Mineral Grey (81J700EQRA),18 018
Acer Aspire 3 A315-55G-594L Black (NX.HEDEU.024),14 981
Lenovo IdeaPad S340-15IWL Platinum Grey (81N800XKRA),"17 415,00 грн"
HP 15-dw0007ua (7PV41EA),15 432
Lenovo ThinkPad X390 (20NN000VUS),27 028
ASUS ZenBook 14 UX434FAC Blue (UX434FAC-A5101T),34 769
"Apple MacBook Pro 16"" Space Gray 2019 (Z0XZ000BM)",100 315
HP 15-db1004ua (7KC45EA),13 148
Lenovo V155-15API Iron Grey (81V5001GRA),13 602
Dell G3 15 3590 (G357161S2NDL-61B),35 756
Acer Nitro 5 AN515-54-51M5 (NH.Q5UAA.001),25 072
Acer Aspire 3 A315-55G-324F (NX.HNSEU.007),12 218
Lenovo Yoga 730-13IWL (81JRCTO1WW-105),22 323
HP ZBook 15 G6 (6CJ04AV_V6),55 986
Acer Nitro 5 AN515-43-R5E0 Obsidian Black (NH.Q5XEU.046),27 319
Xiaomi Mi Notebook Pro 15.6 GTX i5 8G 1050MAX-Q 1TB (JYU4200CN),28 259
Dell XPS 15 7590 (X5716S3NDW-87S),76 741
MSI GF65 Thin 9SC Black (GF659SD-439XKZ),36 099
Dell Latitude 7400 Alum (210-ARYJ-DM-AL),"33 000,00 грн"
ASUS ROG Strix G531GU (G531GU-AL064),"31 293,00 грн"
Xidax XMT-7 (i7 32GB 1TB SSD 2070 8GB),54 027
Vinga Iron S140 (S140-P508256G),9 527
HP Pavilion Gaming 17 (8RS57EA),25 981
Acer Aspire 3 A317-51G Black (NX.HM1EU.00A),19 964
Lenovo 100e Chromebook (81QB0000US),5 051
HP OMEN 15-dc1058wm (7MA38UA),34 570
Dell Inspiron 13 7391 (cai1372n1w10p1c101),19 963
"Apple MacBook Pro 13"" with Retina display (MF841) 2015",37 308
Dell Latitude 3390 (N004L339013_W10),18 923
"Apple MacBook Pro 15"" Silver (MPTV2) 2017",55 778
"Apple MacBook Air 13"" (MQD42) 2017",31 113
HP 250 G6 (2RR94ES),9 917
HP 17-by0147ur Silver (4RQ34EA),14 381
Dell XPS 15 9560 (X578S2NDW-63S),"41 999,00 грн"
MSI GS65 8RF Stealth Thin (GS658RF-037US),41 355
Lenovo Yoga 730-13 (81CT001RUS),21 048
Dell XPS 15 9575 (X9575-7143SLV-PDE),44 323
HP Spectre x360 15-df0040ur (6BH48EA),43 103
Acer Nitro 5 AN515-42-R5ED (NH.Q4TAA.001),17 525
Lenovo ThinkPad T580 (20L9S14S00),19 748
Lenovo Legion Y540-15IRH Black (81SX00E7RA),30 327
HP Pavilion x360 15-dq0077nr (6BM94UA),20 209
Lenovo Legion Y540-15 (81SY00AVUS),31 195
GIGABYTE AERO 15X v8-BK4,"42 999,00 грн"
ASUS ROG Strix SCAR II GL504GM (GL504GM-DS74),"33 399,00 грн"
Xiaomi Mi Notebook Lite 15.6 Intel Core i3 4/256Gb White (JYU4113CN),"14 914,00 грн"
Vinga Iron S140 (S140-P508256G),9 527
HP Pavilion 14-ce2068st (6ME71UA),11 852
Lenovo ThinkPad T490 (20N20030US),32 592
ASUS ZenBook 15 UX533FD Royal Blue (UX533FD-A8081T),"36 999,00 грн"
Dell G3 15 3579 (G3579FI58S1H1DL-8BL),22 458
ASUS ZenBook Pro 15 UX550GE (UX550GE-XB71T),39 001
ASUS ZenBook 13 UX331UA (UX331UA-EG071T),18 366
ASUS ROG Strix SCAR II GL504GS (GL504GS-ES056T),38 484
Dell Vostro 3580 (N2102VN3580EMEA01_H),18 102
ASUS ROG Strix Scar III G731GW (G731GW-EV012R),"58 617,00 грн"
ASUS VivoBook 15 X512FJ Silver (X512FJ-BQ379),17 078
Lenovo IdeaPad S540-15IWL Mineral Grey (81NE00BJRA),"17 699,00 грн"
"Apple MacBook Pro 13"" Space Gray 2019 (Z0WQ000QM, Z0WQ0000T, Z0WQ0008X)",66 986
Lenovo Legion Y540-15 (81SX00E8RA),"29 025,00 грн"
Dell Vostro 3590 Black (N3505VN3590EMEA01_U),14 174
Lenovo IdeaPad L340-15IRH Gaming Black (81LK00F8RA),20 932
ASUS X509UA Gray (X509UA-EJ198),8 546
ASUS ZenBook UX331UN (UX331UN-EG134T),25 348
HP 255 G7 Dark Ash Silver (8MJ07EA),8 485
Dell Inspiron 3584 (3584Fi34H1HD-WBK),10 741
ASUS VivoBook 15 X512UA (X512UA-EJ738),9 170
ASUS VivoBook 15 X512DA (X512DA-EJ888),11 662
ASUS VivoBook 15 X512UA Blue (X512UA-EJ739),8 971
Acer Predator Helios 300 PH315-51-74V4 (NH.Q3FAA.004),"29 504,00 грн"
Dell XPS 15 7590 (X5716S4NDW-87S),68 161
Vinga Iron S140 (S140-P508256G),9 527
HP 15-db1135ur (8PL10EA),16 856
HP 250 G7 (8AA91ES),16 416
Lenovo IdeaPad S145-15IGM Granite Black (81MX0033RA),8 638
Acer Swift 5 SF514-54T-71ZX Blue (NX.HHYEU.00E),39 110
Dell XPS 13 7390 (210-ASTI_32W),96 103
HP Envy x360 13-ar0005ur Black (7MW90EA),22 539
Lenovo IdeaPad S145-15IGM Black Texture (81MX005URA),8 482
Lenovo IdeaPad S340-14IWL Onyx Black (81N700V3RA),13 668
HP 15-db0429ur (7BW51EA),8 428
Lenovo ThinkPad E15 (20RD0014RT),34 217
Lenovo IdeaPad S145-15IWL Black (81MV0150RA),"5 499,00 грн"
HP OMEN X 2S Black (7BV20EA),"109 949,00 грн"
Lenovo IdeaPad S145-15IWL Black (81MV01DMRA),9 572
Dell Inspiron 3582 (I3582C4H5NIL-BK),5 322
Lenovo Legion Y540-15 (81SX028MPB),"29 025,00 грн"
ASUS VivoBook S15 S532FL Silver (S532FL-BN183T),30 202
Lenovo IdeaPad S145-15 (81VD006SRA),10 529
Acer Predator Helios 300 PH315-52 Black (NH.Q54EU.06J),54 768
Lenovo Legion Y540-15 (81SX000KUS),39 417
Dell Latitude 7400 (N076L740014EMEA_WIN),48 094
HP ProBook 450 G6 (4TC92AV_ITM3),22 800
ASUS ZenBook 15 UX534FTC Silver (UX534FTC-A8099T),41 160
Acer Aspire 5 A515-55-58S0 Black (NX.HSHEU.006),17 349
Lenovo ThinkBook 15-IML (20RW005QRM),20 205
Vinga Iron S140 (S140-P508256G),9 527
Microsoft Surface Laptop 3 (PLZ-00029),64 502
ASUS M509DJ Gray (M509DJ-BQ024),18 687
Microsoft Surface Pro 7 Black (VNX-00016),40 695
Lenovo IdeaPad S340-15IWL Abyss Blue (81N800XYRA),17 495
ASUS VivoBook S15 S532FA (S532FA-DB55),20 739
MSI GL65 9SC (GL659SC-058BY),37 979
MSI GL65 9SE (GL659SE-278BY),46 467
Acer Aspire 5 A515-43G (NX.HH1EU.006),17 261
HP Pavilion 14-ce3019ur Silver (9EY46EA),17 995
Dell Inspiron 3585 Black (I35R58S2NDW-75B),"14 999,00 грн"
Acer Aspire 3 A315-56-53PK Black (NX.HS5EU.00E),14 678
ASUS ZenBook UM431DA (UM431DA-AM007),"21 450,00 грн"
LG Gram Laptop (13Z990-A.AAS5U1),22 020
Dell G7 7790 (G7790FI716S5D2060W-9GR),52 899
Acer Swift 3 SF314-58 Pink (NX.HPSEU.00G),16 365
Acer Aspire 5 A515-43 Silver (NX.HGWEU.002),12 954
HP Pavilion Gaming 17 Black (7DY42EA),35 681
ASUS VivoBook X540MB Silver (X540MB-DM157),10 034
Microsoft Surface Book 2 (PGU-00001),32 010
ASUS X509FJ Slate Grey (X509FJ-BQ157),18 748
Acer Aspire 5 A515-54G Silver (NX.HVGEU.00C),25 247
Acer Aspire 5 A515-54G Black (NX.HS8EU.004),18 461
Dell Inspiron 3793 Silver (3793Fi58S2MX230-WPS),"21 399,00 грн"
HP ProBook 430 G7 (6YX11AV_ITM1),23 732
Vinga Iron S140 (S140-P508256G),9 527
HP ProBook 470 G7 (8FY75AV_ITM1),36 085
Lenovo ThinkPad X1 Extreme 2Gen (20QVS0FM00),"46 949,00 грн"
"Apple MacBook Pro 16"" Space Gray 2019 (Z0XZ0006A)",203 252
ASUS TUF Gaming FX504GD (FX504GD-EN291T),24 156
ASUS ZenBook Flip 14 UX461UN (UX461UN-E1066T),"26 999,00 грн"
ASUS ROG Strix SCAR II GL504GV (GL504GV-ES032T),41 661
Lenovo Chromebook C340-11 (81TA0000US),6 017
ASUS K540UB (K540UB-Q52SP-CB),17 767
"Apple MacBook Pro 13"" with Retina display (MGX82) 2014","24 210,00 грн"
Lenovo IdeaPad 320-15 (80XL02R0RA),"10 502,00 грн"
Dell Inspiron 3552 (I35P45DIW-60),6 977
Lenovo ThinkPad E570 (20H500CTRT),"17 102,00 грн"
Lenovo IdeaPad 330-15IKBR Chocolate (81DE01VVRA),12 426
Lenovo IdeaPad 330-15 (81DC00QSRA),10 351
Acer Nitro 5 AN515-51-56QQ (NH.Q2QEU.071),"22 699,00 грн"
ASUS X560UD Black (X560UD-EJ388),"19 999,00 грн"
ASUS ROG Zephyrus M GM501GM Black (GM501GM-WS74),37 608
ASUS ZenBook 14 UX431FA (UX431FA-ES74),"24 085,00 грн"
HP Pavilion x360 14-dh0003dx (5UD81UA),17 000
Acer ConceptD 7 CN715-71 White (NX.C4KEU.019),113 865
Dell Latitude 5501 (N002L550115EMEA),34 337
ASUS ZenBook 3 Deluxe UX490UA (UX490UA-XH74-BL),28 642
Lenovo IdeaPad C340-14API Black (81N6005WRA),23 020
Lenovo Legion Y740-17 (81HH0003US),62 936
