Название,Цена
HP 15-ra059ur Black (3QU42EA),"5 599,00 грн"
Acer Aspire 3 A315-55G-3895 Black (NX.HEDEU.004),11 868
ASUS X509FJ (X509FJ-EJ14),12 865
ASUS VivoBook 17 X705UB Star Grey (X705UB-BX354),10 421
Dell Inspiron 14 7490 (NN7490DOMVH),23 712
Xiaomi RedmiBook 14 Ryzen 5 8/256GB Radeon Vega8 Silver (JYU4204CN),16 719
Alienware m15 R2 (AWYA15-7749WHT-PUS),48 525
Lenovo Legion Y540-15 (81SX00FFUS),29 966
Dell XPS 13 9380 (X358S2NIW-80S),35 157
Xiaomi Mi Notebook Pro 15.6 GTX Intel Core i5 8/256Gb GTX 1050 Max-Q 4GB...,27 258
Dell Inspiron 3582 Black (3582N54H1IHD_LBK),6 664
ASUS ROG Strix SCAR III G531GW (G531GW-XB74),52 313
Xiaomi Mi Notebook Air 13.3 i5 8/256Gb MX250 Silver 2019 (JYU4123CN),23 109
HP 15s-fq0033ur Black (7SG35EA),"13 699,00 грн"
Vinga Iron S140 (S140-P508256G),9 527
Dell G3 15 3590 (I3590-7957BLK-PUS),32 772
Acer Aspire 3 A315-34 (NX.HE3EU.02B),5 403
Lenovo IdeaPad S340-15IWL Onyx Black (81N800WWRA),12 386
Acer Aspire 5 A515-43 Silver (NX.HGZEU.00A),20 496
ASUS VivoBook 15 X512FA Coral Crush (X512FA-BQ1637),14 030
Dell XPS 13 7390 (XN7390DZMXS),31 992
Lenovo IdeaPad 330S-15 Platinum Grey (81F500RHRA),13 539
Lenovo Legion Y540-15 (81SX00BKRA),28 553
"Apple MacBook Air 11"" (MD711) 2013",11 931
Lenovo Legion Y720-15 (80VR0064US),20 899
Lenovo Yoga 730-15IKB (81CU000RUS),28 523
"Apple MacBook Air 13"" Space Gray 2018 (MRE92, 5RE92)",30 178
Acer Predator Helios 300 PH315-51 (NH.Q3FEU.017),"24 003,00 грн"
Xiaomi Mi Notebook Lite 15.6 Intel Core i3 4/128Gb Dark Gray (JYU4093CN),13 414
Acer Aspire 3 A315-53 (NX.H38EU.026),10 777
Dell G3 15 3579 Black (G35581S0NDL-65B),"18 999,00 грн"
ASUS ZenBook 13 UX333FA (UX333FA-DH51),21 905
HP Pavilion Gaming 15-cx0056wm (4PY21UA),"18 561,00 грн"
MSI GE75 Raider 9SG (GE759SG-1251UA),95 646
HP 15-db1097ur Black (7SF21EA),12 705
ASUS TUF Gaming FX505DU (FX505DU-AL079),30 073
Acer Extensa 15 EX215-51-53W6 (NX.EFREU.007),13 022
Lenovo IdeaPad S145-15IGM Granite Black (81MX002TRA),5 763
Lenovo IdeaPad L340-17IRH Gaming Black (81LL00B4RA),26 204
Vinga Iron S140 (S140-P508256G),9 527
ASUS ZenBook 14 UM433DA (UM433DA-A5016),"18 999,00 грн"
ASUS X571GT Star Black (X571GT-BN436),"20 999,00 грн"
Acer Nitro 5 AN515-54-77YG (NH.Q59EU.092),31 969
Lenovo Yoga C740-14IML (81TC000NUS),25 772
"Apple MacBook Pro 13"" with Retina display (MGX72) 2014","22 596,00 грн"
HP 250 G7 (6UL20EA),10 449
ASUS VivoBook 15 X512FJ Coral (X512FJ-EJ372),16 108
Lenovo IdeaPad 330-15 Platinum Grey (81DC018WRA),7 809
"Apple MacBook Pro 16"" Space Gray 2019 (Z0Y00009J)",136 128
Dell Inspiron 3584 (I3584F34H10NNL-7BK),8 757
ASUS ZenBook UM431DA (UM431DA-AM048),"25 999,00 грн"
Acer Aspire 3 A315-54K-58LK (NX.HEEEU.03J),12 011
ASUS ROG Strix SCAR III G531GW Black (G531GW-AL346),54 905
Dell XPS 15 7590 (XPS7590-7527SLV-PUS),61 676
Dell G5 5590 (G5590FI58S5D1650L-9BK),25 611
MSI GE75 Raider 10SGS Black (GE7510SGS-023UA),"88 349,00 грн"
ASUS X543MA Grey (X543MA-DM622),8 075
ASUS M509DJ (M509DJ-BQ080),16 107
Dell G5 15 5587 Black (55G5i58S1H1G15i-LBK),27 042
Dell Inspiron 3565 Black (I3562A94H5DIL-7BK),7 004
Acer Aspire 7 A717-72G-700J (NH.GXEAA.005),27 418
ASUS X543UA (X543UA-DM1622),13 332
Alienware m15 Epic Silver (AWm15-7469SLV-PUS),47 451
Dell XPS 13 7390 (XPS7390-7664SLV-PUS),28 410
Vinga Iron S140 (S140-P508256G),9 527
HP 15-db1096ur Black (7RZ13EA),13 957
Lenovo Legion Y540-15 (81SX009TRA),28 757
ASUS M509DJ Transparent Silver (M509DJ-EJ016),13 000
ASUS VivoBook 17 X705UB Grey (X705UB-BX355),11 233
Lenovo IdeaPad L340-15 Gaming (81LK010KRA),"18 999,00 грн"
Lenovo IdeaPad L340-17IRH Gaming Black (81LL00AVRA),25 020
Dell XPS 15 7590 (X5932S4NDW-88S),88 419
Acer Nitro 5 AN517-51 Black (NH.Q5CEU.025),36 172
Acer Swift 3 SF314-42-R515 Silver (NX.HSEEU.009),19 494
Dell Latitude 7350 (HX5-53222),9 483
Lenovo V130-14 (81HQ00RERA),7 061
Acer Aspire 5 A515-54G-54PR Red (NX.HFVEU.018),17 656
ASUS ROG Strix Scar III G731GW (G731GW-H6181),"77 976,00 грн"
ASUS ROG Strix Scar III G731GW (G731GW-XB74),54 542
HP 14s-dq1011ur Silver (8PJ19EA),16 136
